mrun,distancia,p_prioritario,simce_let,simce_mat,cod_nivel,prioridad_h,es_mujer,prioritario,alto_rendimiento,tipo,alt
3952492,0.24504,0.052632,250,276,7,0,1,0,1,no_muni & no_conv,0
3952492,6.7274,0.15116,313,331,7,0,1,0,1,mun & no_conv,1
3952492,0.8376,0,229,271,7,0,1,0,1,no_mun & conv,0
3952492,0.49034,0,550,550,7,0,1,0,1,mun & conv,0
4105623,1.9093,0,256,283,7,0,0,0,0,no_muni & no_conv,0
4105623,6.8219,0.15714,259,260,7,0,0,0,0,mun & no_conv,0
4105623,3.2977,0,274,305,7,0,0,0,0,no_mun & conv,1
4105623,7.1613,0.15,292,337,7,0,0,0,0,mun & conv,0
4172948,2.3501,0.15,265,304,9,0,1,0,1,no_muni & no_conv,0
4172948,2.5337,0,297,313,9,0,1,0,1,mun & no_conv,0
4172948,5.1773,0,268,296,9,0,1,0,1,no_mun & conv,0
4172948,3.7303,0.15111,201,198,9,0,1,0,1,mun & conv,1
4181824,3.4582,0.051724,292,351,7,0,1,1,0,no_muni & no_conv,0
4181824,1.5553,0.15556,262,259,7,0,1,1,0,mun & no_conv,1
4181824,1.1793,0,255,275,7,0,1,1,0,no_mun & conv,0
4181824,1.527,0.058333,550,550,7,0,1,1,0,mun & conv,0
4306468,1.2926,0,309,342,12,0,0,0,1,no_muni & no_conv,1
4306468,6.6318,0,219,213,12,0,0,0,1,mun & no_conv,0
4306468,2.1342,0,280,334,12,0,0,0,1,no_mun & conv,0
4306468,1.5108,0,256,302,12,0,0,0,1,mun & conv,0
4416272,4.2356,0,241,269,9,0,0,0,1,no_muni & no_conv,0
4416272,2.6767,0,328,374,9,0,0,0,1,mun & no_conv,0
4416272,10.7465,0,254,302,9,0,0,0,1,no_mun & conv,0
4416272,3.1362,0,296,333,9,0,0,0,1,mun & conv,1
4456008,5.076,0.15278,243,260,9,0,0,1,1,no_muni & no_conv,0
4456008,8.5968,0,311,351,9,0,0,1,1,mun & no_conv,0
4456008,2.1503,0,268,281,9,0,0,1,1,no_mun & conv,1
4456008,5.6034,0,262,270,9,0,0,1,1,mun & conv,0
4478264,3.4066,0.030303,277,309,7,0,1,1,1,no_muni & no_conv,1
4478264,5.5545,0.15179,286,318,7,0,1,1,1,mun & no_conv,0
4478264,1.4904,0,270,334,7,0,1,1,1,no_mun & conv,0
4478264,6.4174,0.15,292,337,7,0,1,1,1,mun & conv,0
4511965,1.8014,0,295,291,7,0,1,0,0,no_muni & no_conv,0
4511965,7.0441,0.15333,328,374,7,0,1,0,0,mun & no_conv,0
4511965,0.72596,0,275,306,7,0,1,0,0,no_mun & conv,1
4511965,3.4629,0,210,222,7,0,1,0,0,mun & conv,0
4701447,2.2356,0,256,280,7,0,0,1,1,no_muni & no_conv,0
4701447,4.6116,0.15556,262,259,7,0,0,1,1,mun & no_conv,1
4701447,2.6166,0,229,240,7,0,0,1,1,no_mun & conv,0
4701447,0.48763,0,213,211,7,0,0,1,1,mun & conv,0
5007871,0.49977,0,262,271,8,0,1,0,1,no_muni & no_conv,0
5007871,14.5268,0,304,323,8,0,1,0,1,mun & no_conv,0
5007871,1.5114,0,242,243,8,0,1,0,1,no_mun & conv,1
5007871,16.2312,0,265,292,8,0,1,0,1,mun & conv,0
5215986,3.2663,0.15,215,213,9,0,1,0,1,no_muni & no_conv,0
5215986,1.7899,0,287,330,9,0,1,0,1,mun & no_conv,0
5215986,1.6642,0,243,257,9,0,1,0,1,no_mun & conv,1
5215986,1.9397,0.15351,208,198,9,0,1,0,1,mun & conv,0
5543484,3.8845,0.15517,246,243,9,0,0,1,1,no_muni & no_conv,0
5543484,2.9898,0,287,330,9,0,0,1,1,mun & no_conv,0
5543484,1.2237,0,227,241,9,0,0,1,1,no_mun & conv,1
5543484,2.8311,0.15351,208,198,9,0,0,1,1,mun & conv,0
5818582,2.8965,0.15556,244,234,7,0,0,1,0,no_muni & no_conv,0
5818582,3.7507,0.16092,297,313,7,0,0,1,0,mun & no_conv,0
5818582,1.5661,0,268,294,7,0,0,1,0,no_mun & conv,0
5818582,0.77325,0.15789,236,228,7,0,0,1,0,mun & conv,1
5834625,1.8061,0,293,327,7,0,1,0,1,no_muni & no_conv,0
5834625,2.913,0.15185,304,323,7,0,1,0,1,mun & no_conv,1
5834625,1.1399,0.01875,213,253,7,0,1,0,1,no_mun & conv,0
5834625,5.5505,0.15,248,261,7,0,1,0,1,mun & conv,0
5984257,2.0831,0,234,254,10,0,1,0,0,no_muni & no_conv,0
5984257,2.2043,0,304,323,10,0,1,0,0,mun & no_conv,0
5984257,1.1211,0,238,292,10,0,1,0,0,no_mun & conv,1
5984257,1.7794,0,219,255,10,0,1,0,0,mun & conv,0
6177181,5.9101,0,214,233,9,0,0,0,1,no_muni & no_conv,0
